perguntas,respostas
O que causa lentidão no site?,Recomendo para o seu site: https://www.locaweb.com.br/blog/temas/codigo-aberto/site-lento-o-que-fazer/
,
O que significa erro 500 Internal Server Error e como corrigir?,Sobre o erro 500: https://www.locaweb.com.br/ajuda/wiki/erro-500
O que significa o Erro 500?,Sobre o erro 500: https://www.locaweb.com.br/ajuda/wiki/erro-500
Meu site está dando Internal Server Error.,Sobre o erro 500: https://www.locaweb.com.br/ajuda/wiki/erro-500
"Apareceu um ""HTTP Error 500"" na tela.",Sobre o erro 500: https://www.locaweb.com.br/ajuda/wiki/erro-500
Como resolver o erro 500 na minha hospedagem?,Sobre o erro 500: https://www.locaweb.com.br/ajuda/wiki/erro-500
O servidor retornou um erro 500.,Sobre o erro 500: https://www.locaweb.com.br/ajuda/wiki/erro-500
"O site diz ""O servidor encontrou um erro interno"".",Sobre o erro 500: https://www.locaweb.com.br/ajuda/wiki/erro-500
"Mensagem de ""Internal Server Error"" ao acessar a página.",Sobre o erro 500: https://www.locaweb.com.br/ajuda/wiki/erro-500
"Erro interno do servidor, como arrumar?",Sobre o erro 500: https://www.locaweb.com.br/ajuda/wiki/erro-500
O site parou e mostra uma mensagem de erro interno.,Sobre o erro 500: https://www.locaweb.com.br/ajuda/wiki/erro-500
Meu WordPress ficou com tela branca e erro 500.,Sobre o erro 500: https://www.locaweb.com.br/ajuda/wiki/erro-500
Atualizei um plugin e agora dá erro 500.,Sobre o erro 500: https://www.locaweb.com.br/ajuda/wiki/erro-500
Erro 500 após mexer no arquivo .htaccess.,Sobre o erro 500: https://www.locaweb.com.br/ajuda/wiki/erro-500
Problema de permissão de pastas causando erro 500.,Sobre o erro 500: https://www.locaweb.com.br/ajuda/wiki/erro-500
Erro no script PHP gerando código 500.,Sobre o erro 500: https://www.locaweb.com.br/ajuda/wiki/erro-500
,
Como devo criar as entradas de DNS na Zona de DNS da Locaweb para subdomínios?,Como configurar subdominio na zona dns: https://www.locaweb.com.br/ajuda/wiki/como-criar-as-entradas-de-dns-na-zona-de-dns-hospedagem-de-sites-2
Como criar um subdomínio na Zona de DNS?,Como configurar subdominio na zona dns: https://www.locaweb.com.br/ajuda/wiki/como-criar-as-entradas-de-dns-na-zona-de-dns-hospedagem-de-sites-2
Como adicionar um novo subdomínio no painel?,Como configurar subdominio na zona dns: https://www.locaweb.com.br/ajuda/wiki/como-criar-as-entradas-de-dns-na-zona-de-dns-hospedagem-de-sites-2
Configuração de subdomínio na Locaweb.,Como configurar subdominio na zona dns: https://www.locaweb.com.br/ajuda/wiki/como-criar-as-entradas-de-dns-na-zona-de-dns-hospedagem-de-sites-2
Passo a passo para criar subdomínios.,Como configurar subdominio na zona dns: https://www.locaweb.com.br/ajuda/wiki/como-criar-as-entradas-de-dns-na-zona-de-dns-hospedagem-de-sites-2
Como criar uma entrada CNAME para um subdomínio?,Como configurar subdominio na zona dns: https://www.locaweb.com.br/ajuda/wiki/como-criar-as-entradas-de-dns-na-zona-de-dns-hospedagem-de-sites-2
Apontar entrada do tipo A para um subdomínio.,Como configurar subdominio na zona dns: https://www.locaweb.com.br/ajuda/wiki/como-criar-as-entradas-de-dns-na-zona-de-dns-hospedagem-de-sites-2
Configurar apontamento de DNS para subdomínio.,Como configurar subdominio na zona dns: https://www.locaweb.com.br/ajuda/wiki/como-criar-as-entradas-de-dns-na-zona-de-dns-hospedagem-de-sites-2
Como editar a Zona de DNS para adicionar subdomínio?,Como configurar subdominio na zona dns: https://www.locaweb.com.br/ajuda/wiki/como-criar-as-entradas-de-dns-na-zona-de-dns-hospedagem-de-sites-2
Como apontar um subdomínio para um IP externo?,Como configurar subdominio na zona dns: https://www.locaweb.com.br/ajuda/wiki/como-criar-as-entradas-de-dns-na-zona-de-dns-hospedagem-de-sites-2
Criar subdomínio para acessar meu blog ou loja.,Como configurar subdominio na zona dns: https://www.locaweb.com.br/ajuda/wiki/como-criar-as-entradas-de-dns-na-zona-de-dns-hospedagem-de-sites-2
"Meu subdomínio não funciona, preciso configurar o DNS?",Como configurar subdominio na zona dns: https://www.locaweb.com.br/ajuda/wiki/como-criar-as-entradas-de-dns-na-zona-de-dns-hospedagem-de-sites-2
Adicionar registro de subdomínio na hospedagem.,Como configurar subdominio na zona dns: https://www.locaweb.com.br/ajuda/wiki/como-criar-as-entradas-de-dns-na-zona-de-dns-hospedagem-de-sites-2
,
"O que fazer quando o acesso ao site apresenta a mensagem ""o servidor DNS não está respondendo""?",Sobre o erro relacionado ao DNS: https://www.locaweb.com.br/ajuda/wiki/servidor-dns-nao-esta-respondendo
"Apareceu o erro: ""O servidor DNS não está respondendo"".",Sobre o erro relacionado ao DNS: https://www.locaweb.com.br/ajuda/wiki/servidor-dns-nao-esta-respondendo
"O navegador mostra ""DNS server not responding"".",Sobre o erro relacionado ao DNS: https://www.locaweb.com.br/ajuda/wiki/servidor-dns-nao-esta-respondendo
Erro: Não foi possível encontrar o endereço IP do servidor.,Sobre o erro relacionado ao DNS: https://www.locaweb.com.br/ajuda/wiki/servidor-dns-nao-esta-respondendo
"Mensagem de ""Falha na pesquisa de DNS"".",Sobre o erro relacionado ao DNS: https://www.locaweb.com.br/ajuda/wiki/servidor-dns-nao-esta-respondendo
O Windows diz que o servidor DNS não responde.,Sobre o erro relacionado ao DNS: https://www.locaweb.com.br/ajuda/wiki/servidor-dns-nao-esta-respondendo
Como corrigir o erro DNS_PROBE_FINISHED_NXDOMAIN?,Sobre o erro relacionado ao DNS: https://www.locaweb.com.br/ajuda/wiki/servidor-dns-nao-esta-respondendo
Apareceu o código DNS_PROBE_FINISHED_BAD_CONFIG.,Sobre o erro relacionado ao DNS: https://www.locaweb.com.br/ajuda/wiki/servidor-dns-nao-esta-respondendo
Erro de resolução de nomes de domínio.,Sobre o erro relacionado ao DNS: https://www.locaweb.com.br/ajuda/wiki/servidor-dns-nao-esta-respondendo
Falha de comunicação com o servidor de nomes.,Sobre o erro relacionado ao DNS: https://www.locaweb.com.br/ajuda/wiki/servidor-dns-nao-esta-respondendo
Erro de DNS ao tentar acessar o site.,Sobre o erro relacionado ao DNS: https://www.locaweb.com.br/ajuda/wiki/servidor-dns-nao-esta-respondendo
Meu site não abre e diz que é problema de DNS.,Sobre o erro relacionado ao DNS: https://www.locaweb.com.br/ajuda/wiki/servidor-dns-nao-esta-respondendo
Como limpar o cache de DNS?,Sobre o erro relacionado ao DNS: https://www.locaweb.com.br/ajuda/wiki/servidor-dns-nao-esta-respondendo
"O site não carrega, fala que o DNS está com problemas.",Sobre o erro relacionado ao DNS: https://www.locaweb.com.br/ajuda/wiki/servidor-dns-nao-esta-respondendo
"Minha internet funciona, mas esse site dá erro de DNS.",Sobre o erro relacionado ao DNS: https://www.locaweb.com.br/ajuda/wiki/servidor-dns-nao-esta-respondendo
Como resolver falha de DNS na conexão?,Sobre o erro relacionado ao DNS: https://www.locaweb.com.br/ajuda/wiki/servidor-dns-nao-esta-respondendo
,
Como instalar o WordPress na Hospedagem Locaweb?,Como instalar o wordpress: https://www.locaweb.com.br/ajuda/wiki/instalacao-facil-e-pratica-de-wordpress-hospedagem-de-sites/
Como faço para instalar o WordPress na minha hospedagem?,Como instalar o wordpress: https://www.locaweb.com.br/ajuda/wiki/instalacao-facil-e-pratica-de-wordpress-hospedagem-de-sites/
Passo a passo para instalação do WordPress.,Como instalar o wordpress: https://www.locaweb.com.br/ajuda/wiki/instalacao-facil-e-pratica-de-wordpress-hospedagem-de-sites/
Quero colocar o WordPress no meu site.,Como instalar o wordpress: https://www.locaweb.com.br/ajuda/wiki/instalacao-facil-e-pratica-de-wordpress-hospedagem-de-sites/
Tutorial de instalação do WP na Locaweb.,Como instalar o wordpress: https://www.locaweb.com.br/ajuda/wiki/instalacao-facil-e-pratica-de-wordpress-hospedagem-de-sites/
Como configurar o WordPress pela primeira vez?,Como instalar o wordpress: https://www.locaweb.com.br/ajuda/wiki/instalacao-facil-e-pratica-de-wordpress-hospedagem-de-sites/
A Locaweb tem instalador automático de WordPress?,Como instalar o wordpress: https://www.locaweb.com.br/ajuda/wiki/instalacao-facil-e-pratica-de-wordpress-hospedagem-de-sites/
Como usar o Instalador de Aplicativos para por o WordPress?,Como instalar o wordpress: https://www.locaweb.com.br/ajuda/wiki/instalacao-facil-e-pratica-de-wordpress-hospedagem-de-sites/
Instalação fácil do WordPress.,Como instalar o wordpress: https://www.locaweb.com.br/ajuda/wiki/instalacao-facil-e-pratica-de-wordpress-hospedagem-de-sites/
Tem como instalar o WordPress com 1 clique?,Como instalar o wordpress: https://www.locaweb.com.br/ajuda/wiki/instalacao-facil-e-pratica-de-wordpress-hospedagem-de-sites/
Onde fica a ferramenta de instalar WordPress no painel?,Como instalar o wordpress: https://www.locaweb.com.br/ajuda/wiki/instalacao-facil-e-pratica-de-wordpress-hospedagem-de-sites/
"Quero criar um blog em WordPress, como começo?",Como instalar o wordpress: https://www.locaweb.com.br/ajuda/wiki/instalacao-facil-e-pratica-de-wordpress-hospedagem-de-sites/
Como iniciar um site WordPress no meu domínio?,Como instalar o wordpress: https://www.locaweb.com.br/ajuda/wiki/instalacao-facil-e-pratica-de-wordpress-hospedagem-de-sites/
Configurar CMS WordPress na hospedagem.,Como instalar o wordpress: https://www.locaweb.com.br/ajuda/wiki/instalacao-facil-e-pratica-de-wordpress-hospedagem-de-sites/
Preciso subir o WordPress ou tem pronto?,Como instalar o wordpress: https://www.locaweb.com.br/ajuda/wiki/instalacao-facil-e-pratica-de-wordpress-hospedagem-de-sites/
Instalar WP.,Como instalar o wordpress: https://www.locaweb.com.br/ajuda/wiki/instalacao-facil-e-pratica-de-wordpress-hospedagem-de-sites/
Setup do WordPress.,Como instalar o wordpress: https://www.locaweb.com.br/ajuda/wiki/instalacao-facil-e-pratica-de-wordpress-hospedagem-de-sites/
Como baixar e instalar o WP no servidor?,Como instalar o wordpress: https://www.locaweb.com.br/ajuda/wiki/instalacao-facil-e-pratica-de-wordpress-hospedagem-de-sites/
,
O que é e como emitir o certificado Let's Encrypt (SSL) para meu site?,Emitir o SSL Let´s Encrypt: https://www.locaweb.com.br/ajuda/wiki/como-gerar-o-certificado-lets-encrypt-via-ssh-hospedagem-de-sites/
Como instalo o certificado Let's Encrypt no meu site?,Emitir o SSL Let´s Encrypt: https://www.locaweb.com.br/ajuda/wiki/como-gerar-o-certificado-lets-encrypt-via-ssh-hospedagem-de-sites/
Quero ativar o Let's Encrypt na Locaweb.,Emitir o SSL Let´s Encrypt: https://www.locaweb.com.br/ajuda/wiki/como-gerar-o-certificado-lets-encrypt-via-ssh-hospedagem-de-sites/
Como configurar o certificado Let's Encrypt?,Emitir o SSL Let´s Encrypt: https://www.locaweb.com.br/ajuda/wiki/como-gerar-o-certificado-lets-encrypt-via-ssh-hospedagem-de-sites/
Onde faço a emissão do Let's Encrypt?,Emitir o SSL Let´s Encrypt: https://www.locaweb.com.br/ajuda/wiki/como-gerar-o-certificado-lets-encrypt-via-ssh-hospedagem-de-sites/
Tutorial para usar o SSL Let's Encrypt.,Emitir o SSL Let´s Encrypt: https://www.locaweb.com.br/ajuda/wiki/como-gerar-o-certificado-lets-encrypt-via-ssh-hospedagem-de-sites/
Como colocar SSL grátis no meu site?,Emitir o SSL Let´s Encrypt: https://www.locaweb.com.br/ajuda/wiki/como-gerar-o-certificado-lets-encrypt-via-ssh-hospedagem-de-sites/
A Locaweb tem certificado de segurança gratuito?,Emitir o SSL Let´s Encrypt: https://www.locaweb.com.br/ajuda/wiki/como-gerar-o-certificado-lets-encrypt-via-ssh-hospedagem-de-sites/
Quero deixar meu site seguro sem pagar pelo SSL.,Emitir o SSL Let´s Encrypt: https://www.locaweb.com.br/ajuda/wiki/como-gerar-o-certificado-lets-encrypt-via-ssh-hospedagem-de-sites/
Existe alguma opção de HTTPS gratuito?,Emitir o SSL Let´s Encrypt: https://www.locaweb.com.br/ajuda/wiki/como-gerar-o-certificado-lets-encrypt-via-ssh-hospedagem-de-sites/
Como instalar o certificado SSL free?,Emitir o SSL Let´s Encrypt: https://www.locaweb.com.br/ajuda/wiki/como-gerar-o-certificado-lets-encrypt-via-ssh-hospedagem-de-sites/
Como gerar o certificado SSL via SSH?,Emitir o SSL Let´s Encrypt: https://www.locaweb.com.br/ajuda/wiki/como-gerar-o-certificado-lets-encrypt-via-ssh-hospedagem-de-sites/
Instalação de SSL por linha de comando.,Emitir o SSL Let´s Encrypt: https://www.locaweb.com.br/ajuda/wiki/como-gerar-o-certificado-lets-encrypt-via-ssh-hospedagem-de-sites/
Gerar chaves do certificado manualmente.,Emitir o SSL Let´s Encrypt: https://www.locaweb.com.br/ajuda/wiki/como-gerar-o-certificado-lets-encrypt-via-ssh-hospedagem-de-sites/
Procedimento para emitir certificado SSL na hospedagem Linux.,Emitir o SSL Let´s Encrypt: https://www.locaweb.com.br/ajuda/wiki/como-gerar-o-certificado-lets-encrypt-via-ssh-hospedagem-de-sites/
Renovação ou geração de certificado via terminal.,Emitir o SSL Let´s Encrypt: https://www.locaweb.com.br/ajuda/wiki/como-gerar-o-certificado-lets-encrypt-via-ssh-hospedagem-de-sites/
Habilitar o cadeado de segurança grátis.,Emitir o SSL Let´s Encrypt: https://www.locaweb.com.br/ajuda/wiki/como-gerar-o-certificado-lets-encrypt-via-ssh-hospedagem-de-sites/
Preciso gerar um certificado para o meu domínio.,Emitir o SSL Let´s Encrypt: https://www.locaweb.com.br/ajuda/wiki/como-gerar-o-certificado-lets-encrypt-via-ssh-hospedagem-de-sites/
Como criar o certificado de segurança para o site?,Emitir o SSL Let´s Encrypt: https://www.locaweb.com.br/ajuda/wiki/como-gerar-o-certificado-lets-encrypt-via-ssh-hospedagem-de-sites/
,
Como restaurar um backup da minha Hospedagem de Sites Locaweb?,Como fazer backup da Hospedagem: https://www.locaweb.com.br/ajuda/wiki/backup-e-restore-de-servicos
Como restauro um backup da minha hospedagem?,Como fazer backup da Hospedagem: https://www.locaweb.com.br/ajuda/wiki/backup-e-restore-de-servicos
"Apaguei arquivos sem querer, como recuperar?",Como fazer backup da Hospedagem: https://www.locaweb.com.br/ajuda/wiki/backup-e-restore-de-servicos
Preciso fazer um restore do meu site.,Como fazer backup da Hospedagem: https://www.locaweb.com.br/ajuda/wiki/backup-e-restore-de-servicos
Quero voltar meu site para a versão de ontem.,Como fazer backup da Hospedagem: https://www.locaweb.com.br/ajuda/wiki/backup-e-restore-de-servicos
Como desfazer alterações restaurando uma cópia de segurança?,Como fazer backup da Hospedagem: https://www.locaweb.com.br/ajuda/wiki/backup-e-restore-de-servicos
"O site quebrou, como volto o backup?",Como fazer backup da Hospedagem: https://www.locaweb.com.br/ajuda/wiki/backup-e-restore-de-servicos
Como fazer uma cópia de segurança do meu site?,Como fazer backup da Hospedagem: https://www.locaweb.com.br/ajuda/wiki/backup-e-restore-de-servicos
Como baixar o backup dos meus arquivos?,Como fazer backup da Hospedagem: https://www.locaweb.com.br/ajuda/wiki/backup-e-restore-de-servicos
Quero salvar meu site no meu computador.,Como fazer backup da Hospedagem: https://www.locaweb.com.br/ajuda/wiki/backup-e-restore-de-servicos
Como gerar um backup completo da hospedagem?,Como fazer backup da Hospedagem: https://www.locaweb.com.br/ajuda/wiki/backup-e-restore-de-servicos
Download de arquivos e banco de dados.,Como fazer backup da Hospedagem: https://www.locaweb.com.br/ajuda/wiki/backup-e-restore-de-servicos
Como restaurar apenas o banco de dados?,Como fazer backup da Hospedagem: https://www.locaweb.com.br/ajuda/wiki/backup-e-restore-de-servicos
Recuperar pasta específica via ferramenta de backup.,Como fazer backup da Hospedagem: https://www.locaweb.com.br/ajuda/wiki/backup-e-restore-de-servicos
Onde fica a ferramenta de Backup e Restore?,Como fazer backup da Hospedagem: https://www.locaweb.com.br/ajuda/wiki/backup-e-restore-de-servicos
Como acessar os backups disponíveis no painel?,Como fazer backup da Hospedagem: https://www.locaweb.com.br/ajuda/wiki/backup-e-restore-de-servicos
A Locaweb tem backup automático?,Como fazer backup da Hospedagem: https://www.locaweb.com.br/ajuda/wiki/backup-e-restore-de-servicos
,
O site caiu por excesso de tráfego. Como verificar e solucionar?,Sobre o erro 503: https://www.locaweb.com.br/ajuda/wiki/erro-503/
O que significa o Erro 503?,Sobre o erro 503: https://www.locaweb.com.br/ajuda/wiki/erro-503/
"Meu site está mostrando ""503 Service Temporarily Unavailable"".",Sobre o erro 503: https://www.locaweb.com.br/ajuda/wiki/erro-503/
"Como corrigir o erro de ""Serviço Indisponível""?",Sobre o erro 503: https://www.locaweb.com.br/ajuda/wiki/erro-503/
Apareceu um HTTP Error 503 na tela.,Sobre o erro 503: https://www.locaweb.com.br/ajuda/wiki/erro-503/
O site diz que o serviço não está disponível no momento.,Sobre o erro 503: https://www.locaweb.com.br/ajuda/wiki/erro-503/
O site caiu por excesso de acessos?,Sobre o erro 503: https://www.locaweb.com.br/ajuda/wiki/erro-503/
Tenho muitas visitas e o site parou de funcionar.,Sobre o erro 503: https://www.locaweb.com.br/ajuda/wiki/erro-503/
Meu site não aguentou o tráfego e saiu do ar.,Sobre o erro 503: https://www.locaweb.com.br/ajuda/wiki/erro-503/
O servidor está sobrecarregado.,Sobre o erro 503: https://www.locaweb.com.br/ajuda/wiki/erro-503/
Pico de audiência derrubou o site.,Sobre o erro 503: https://www.locaweb.com.br/ajuda/wiki/erro-503/
Recebi um aviso de consumo excessivo de recursos.,Sobre o erro 503: https://www.locaweb.com.br/ajuda/wiki/erro-503/
Meu site estourou o limite de memória ou CPU.,Sobre o erro 503: https://www.locaweb.com.br/ajuda/wiki/erro-503/
Erro por limite de processos simultâneos.,Sobre o erro 503: https://www.locaweb.com.br/ajuda/wiki/erro-503/
Como saber se atingi o limite da hospedagem?,Sobre o erro 503: https://www.locaweb.com.br/ajuda/wiki/erro-503/
Site lento e caindo por falta de recursos.,Sobre o erro 503: https://www.locaweb.com.br/ajuda/wiki/erro-503/
Como aumentar a capacidade do meu site para não cair?,Sobre o erro 503: https://www.locaweb.com.br/ajuda/wiki/erro-503/
O que fazer quando o site dá erro 503?,Sobre o erro 503: https://www.locaweb.com.br/ajuda/wiki/erro-503/
Preciso de mais recursos para o site não cair.,Sobre o erro 503: https://www.locaweb.com.br/ajuda/wiki/erro-503/
,
"O que significa quando meu domínio está ""congelado"" ou em ""redemption""?",Status sobre o domínio congelado: https://www.locaweb.com.br/ajuda/wiki/tudo-sobre-o-dominio-congelado-ou-redemption-registro-de-dominio/
O que significa domínio congelado?,Status sobre o domínio congelado: https://www.locaweb.com.br/ajuda/wiki/tudo-sobre-o-dominio-congelado-ou-redemption-registro-de-dominio/
"Meu domínio está com status ""Redemption"", o que é isso?",Status sobre o domínio congelado: https://www.locaweb.com.br/ajuda/wiki/tudo-sobre-o-dominio-congelado-ou-redemption-registro-de-dominio/
Apareceu que o domínio está em Redemption Period.,Status sobre o domínio congelado: https://www.locaweb.com.br/ajuda/wiki/tudo-sobre-o-dominio-congelado-ou-redemption-registro-de-dominio/
O que quer dizer status congelado no Registro.br?,Status sobre o domínio congelado: https://www.locaweb.com.br/ajuda/wiki/tudo-sobre-o-dominio-congelado-ou-redemption-registro-de-dominio/
Status: Server Hold ou Client Hold (termos técnicos de congelamento).,Status sobre o domínio congelado: https://www.locaweb.com.br/ajuda/wiki/tudo-sobre-o-dominio-congelado-ou-redemption-registro-de-dominio/
Como faço para descongelar meu domínio?,Status sobre o domínio congelado: https://www.locaweb.com.br/ajuda/wiki/tudo-sobre-o-dominio-congelado-ou-redemption-registro-de-dominio/
Quero tirar meu domínio do status de redemption.,Status sobre o domínio congelado: https://www.locaweb.com.br/ajuda/wiki/tudo-sobre-o-dominio-congelado-ou-redemption-registro-de-dominio/
Como recuperar um domínio que foi congelado?,Status sobre o domínio congelado: https://www.locaweb.com.br/ajuda/wiki/tudo-sobre-o-dominio-congelado-ou-redemption-registro-de-dominio/
É possível renovar um domínio em redemption?,Status sobre o domínio congelado: https://www.locaweb.com.br/ajuda/wiki/tudo-sobre-o-dominio-congelado-ou-redemption-registro-de-dominio/
Reativar domínio congelado por falta de pagamento.,Status sobre o domínio congelado: https://www.locaweb.com.br/ajuda/wiki/tudo-sobre-o-dominio-congelado-ou-redemption-registro-de-dominio/
Perdi meu domínio? Ele aparece como congelado.,Status sobre o domínio congelado: https://www.locaweb.com.br/ajuda/wiki/tudo-sobre-o-dominio-congelado-ou-redemption-registro-de-dominio/
"Esqueci de pagar e o domínio congelou, e agora?",Status sobre o domínio congelado: https://www.locaweb.com.br/ajuda/wiki/tudo-sobre-o-dominio-congelado-ou-redemption-registro-de-dominio/
Meu site saiu do ar e diz que o domínio expirou ou congelou.,Status sobre o domínio congelado: https://www.locaweb.com.br/ajuda/wiki/tudo-sobre-o-dominio-congelado-ou-redemption-registro-de-dominio/
O domínio está bloqueado para renovação.,Status sobre o domínio congelado: https://www.locaweb.com.br/ajuda/wiki/tudo-sobre-o-dominio-congelado-ou-redemption-registro-de-dominio/
"Status de ""Aguardando congelamento"" ou ""Inativo"".",Status sobre o domínio congelado: https://www.locaweb.com.br/ajuda/wiki/tudo-sobre-o-dominio-congelado-ou-redemption-registro-de-dominio/
